YYYYMMDD,TG
19510101,0.0
19510102,9.0
19510103,5.0
19510104,5.0
19510105,26.0
19510106,34.0
19510107,51.0
19510108,49.0
19510109,40.0
19510110,20.0
19510111,58.0
19510112,31.0
19510113,31.0
19510114,29.0
19510115,36.0
19510116,36.0
19510117,53.0
19510118,57.0
19510119,54.0
19510120,43.0
19510121,28.0
19510122,45.0
19510123,18.0
19510124,19.0
19510125,4.0
19510126,7.0
19510127,26.0
19510128,19.0
19510129,15.0
19510130,16.0
19510131,-10.0
19510201,9.0
19510202,13.0
19510203,-8.0
19510204,35.0
19510205,53.0
19510206,30.0
19510207,23.0
19510208,52.0
19510209,74.0
19510210,34.0
19510211,20.0
19510212,36.0
19510213,16.0
19510214,2.0
19510215,22.0
19510216,29.0
19510217,45.0
19510218,41.0
19510219,37.0
19510220,44.0
19510221,35.0
19510222,38.0
19510223,41.0
19510224,34.0
19510225,40.0
19510226,28.0
19510227,7.0
19510228,11.0
19510301,10.0
19510302,1.0
19510303,-4.0
19510304,-9.0
19510305,3.0
19510306,17.0
19510307,27.0
19510308,8.0
19510309,1.0
19510310,-1.0
19510311,30.0
19510312,30.0
19510313,85.0
19510314,69.0
19510315,58.0
19510316,60.0
19510317,88.0
19510318,77.0
19510319,32.0
19510320,22.0
19510321,24.0
19510322,54.0
19510323,65.0
19510324,34.0
19510325,22.0
19510326,28.0
19510327,19.0
19510328,11.0
19510329,19.0
19510330,15.0
19510331,30.0
19510401,59.0
19510402,60.0
19510403,57.0
19510404,58.0
19510405,62.0
19510406,75.0
19510407,87.0
19510408,54.0
19510409,59.0
19510410,54.0
19510411,40.0
19510412,64.0
19510413,61.0
19510414,46.0
19510415,55.0
19510416,59.0
19510417,52.0
19510418,68.0
19510419,54.0
19510420,55.0
19510421,38.0
19510422,43.0
19510423,87.0
19510424,129.0
19510425,131.0
19510426,93.0
19510427,66.0
19510428,47.0
19510429,47.0
19510430,59.0
19510501,90.0
19510502,108.0
19510503,130.0
19510504,138.0
19510505,117.0
19510506,115.0
19510507,92.0
19510508,97.0
19510509,102.0
19510510,105.0
19510511,93.0
19510512,84.0
19510513,81.0
19510514,76.0
19510515,84.0
19510516,85.0
19510517,104.0
19510518,118.0
19510519,153.0
19510520,159.0
19510521,117.0
19510522,115.0
19510523,124.0
19510524,133.0
19510525,147.0
19510526,131.0
19510527,127.0
